Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
253,10.12,10,car,1524.0173,79.48907,7.6336727,-38.300755,1.7726803,1.15495,0,0.0,11,-1,-1,-1,-1,-1,2,0
253,10.12,11,car,1500.9502,76.4929,7.3507204,-38.95979,1.6026261,1.1193177,0,0.0,2,10,-1,-1,-1,-1,2,0
253,10.12,12,car,1452.003,78.93046,6.5959444,-37.5853,1.7412007,1.213562,0,0.0,-1,-1,-1,-1,-1,-1,1,0
254,10.16,2,car,1562.6284,78.0038,8.241589,-39.264904,1.6541165,1.1097168,1,6.944444444444445,3,11,-1,-1,-1,-1,2,0
254,10.16,3,car,1587.7217,78.02723,8.622103,-39.582775,1.6967648,1.1654236,2,0.0,13,2,-1,-1,-1,-1,2,0
254,10.16,10,car,1523.9873,79.12278,7.6405067,-38.41581,1.747423,1.1500062,0,0.0,11,-1,-1,-1,-1,-1,2,0
254,10.16,11,car,1500.9224,76.53168,7.349579,-38.94704,1.5989937,1.1170167,0,0.0,2,10,-1,-1,-1,-1,2,0
254,10.16,12,car,1451.9653,79.02891,6.5938864,-37.55456,1.7431405,1.212677,0,0.0,-1,-1,-1,-1,-1,-1,1,0
254,10.16,13,car,1744.7314,78.53915,11.086962,-41.526318,1.717437,1.1535218,0,0.0,14,3,-1,-1,-1,-1,2,0
254,10.16,14,car,1768.7297,75.10387,11.612479,-43.078888,1.5751909,1.1854676,0,0.0,-1,13,-1,-1,-1,-1,2,0
255,10.2,2,car,1562.658,78.10304,8.239788,-39.23322,1.6588538,1.1080811,0,-6.944444444444445,3,11,-1,-1,-1,-1,2,0
255,10.2,3,car,1587.6365,78.01466,8.621107,-39.585762,1.6940762,1.1599365,2,0.0,13,2,-1,-1,-1,-1,2,0
255,10.2,10,car,1523.9309,79.09166,7.6402926,-38.424923,1.7436409,1.1472778,0,0.0,11,-1,-1,-1,-1,-1,2,0
255,10.2,11,car,1500.9192,76.56453,7.3489137,-38.9365,1.5965995,1.1145203,0,0.0,2,10,-1,-1,-1,-1,2,0
255,10.2,12,car,1451.9102,79.03308,6.5930314,-37.552605,1.7492365,1.2134949,0,0.0,-1,-1,-1,-1,-1,-1,1,0
255,10.2,13,car,1745.0437,78.546295,11.091809,-41.528194,1.712212,1.1313171,0,0.0,14,3,-1,-1,-1,-1,2,0
255,10.2,14,car,1768.9037,75.170044,11.612836,-43.05764,1.5625495,1.1933472,0,0.0,-1,13,-1,-1,-1,-1,2,0
256,10.24,2,car,1562.4651,78.243256,8.233708,-39.18548,1.6706606,1.1075379,0,0.0,3,11,-1,-1,-1,-1,2,0
256,10.24,3,car,1587.5421,78.13592,8.616718,-39.544987,1.6977223,1.1667969,2,0.0,13,2,-1,-1,-1,-1,2,0
256,10.24,10,car,1523.8777,79.107895,7.639183,-38.41913,1.7457876,1.1284119,0,0.0,11,-1,-1,-1,-1,-1,2,0
256,10.24,11,car,1500.9458,76.40105,7.3523855,-38.9891,1.59259,1.1255798,0,0.0,2,10,-1,-1,-1,-1,2,0
256,10.24,12,car,1451.7662,78.95486,6.5921726,-37.574905,1.7540264,1.2135743,0,0.0,-1,-1,-1,-1,-1,-1,1,0
256,10.24,13,car,1745.0171,78.58802,11.089884,-41.513405,1.7147341,1.124176,0,0.0,16,3,-1,-1,-1,-1,2,0
256,10.24,14,car,1768.9124,75.25243,11.60979,-43.02817,1.5645005,1.1856629,0,0.0,-1,16,-1,-1,-1,-1,2,0
256,10.24,16,car,1805.495,79.011475,12.074701,-42.21707,1.753292,1.0937623,0,0.0,14,13,-1,-1,-1,-1,2,0
257,10.28,2,car,1562.5278,78.00858,8.239961,-39.262062,1.6585315,1.1032776,0,0.0,3,11,-1,-1,-1,-1,2,0
257,10.28,3,car,1587.4592,77.91238,8.620891,-39.616844,1.6890156,1.1546204,2,0.0,13,2,-1,-1,-1,-1,2,0
257,10.28,10,car,1523.802,78.74383,7.645316,-38.533257,1.7309757,1.1301758,0,0.0,11,-1,-1,-1,-1,-1,2,0
257,10.28,11,car,1500.8833,76.28943,7.3535633,-39.02403,1.5847653,1.1310853,0,0.0,2,10,-1,-1,-1,-1,2,0
257,10.28,12,car,1451.8643,78.929054,6.5939755,-37.584038,1.7386065,1.2210449,0,0.0,-1,-1,-1,-1,-1,-1,1,0
257,10.28,13,car,1745.0535,78.58063,11.090742,-41.516464,1.7160336,1.1244202,0,0.0,16,3,-1,-1,-1,-1,2,0
