Frame,Time(s),Vehicle_ID,Vehicle_Type,Center_X(px),Center_Y(px),World_X(m),World_Y(m),Length(m),Width(m),Speed(km/h),Acceleration(m/s²),Front_Car_ID,Rear_Car_ID,Left_Front_Car_ID,Left_Rear_Car_ID,Right_Front_Car_ID,Right_Rear_Car_ID,Lane_ID,Calib_Version
359,14.36,8,van,1215.208,867.4854,17.081457,104.343124,2.3488128,3.6573732,3,0.0,4,-1,-1,-1,-1,-1,2,0
360,14.4,8,van,1218.8308,866.37964,17.115965,104.31793,2.3241882,3.844458,3,0.0,-1,-1,-1,-1,-1,-1,2,0
361,14.44,4,bus,1029.4482,720.59894,16.494223,100.02281,2.3360078,6.1438203,4,0.0,-1,-1,-1,-1,-1,-1,2,0
362,14.48,4,bus,1026.1589,726.0193,16.424063,100.2268,2.6805634,6.3023896,5,6.944444444444445,-1,-1,-1,-1,-1,-1,2,0
364,14.56,4,bus,1017.6301,729.1356,16.320745,100.34212,2.6269593,6.4809604,5,0.0,-1,-1,-1,-1,-1,-1,2,0
365,14.6,4,bus,1014.4364,728.01355,16.297586,100.30076,2.5640075,6.5533814,4,-6.944444444444445,-1,-1,-1,-1,-1,-1,2,0
366,14.64,4,bus,1011.86743,731.84705,16.24769,100.4413,2.7388275,6.6275973,5,6.944444444444445,-1,-1,-1,-1,-1,-1,2,0
367,14.68,4,bus,1006.09924,726.2482,16.228994,100.23532,2.4023316,6.7836456,5,0.0,-1,-1,-1,-1,-1,-1,2,0
368,14.72,4,bus,1003.245,732.5843,16.16075,100.468094,2.7042787,6.9154906,5,0.0,-1,-1,-1,-1,-1,-1,2,0
369,14.76,4,bus,999.52893,731.56024,16.131792,100.43086,2.607245,6.864145,5,0.0,-1,-1,-1,-1,-1,-1,2,0
370,14.8,4,bus,996.869,737.46704,16.06989,100.643585,3.0328279,6.972229,5,0.0,-1,-1,-1,-1,-1,-1,2,0
371,14.84,4,bus,990.7942,735.3931,16.02506,100.56945,2.8000915,7.0502167,5,0.0,-1,-1,-1,-1,-1,-1,2,0
372,14.88,4,bus,987.47876,735.8427,15.990961,100.58557,2.7751985,7.188779,5,0.0,-1,-1,-1,-1,-1,-1,2,0
373,14.92,4,bus,983.1825,740.499,15.923073,100.7509,2.958948,7.331592,5,0.0,-1,-1,-1,-1,-1,-1,2,0
374,14.96,4,bus,979.6278,740.46173,15.88994,100.74959,2.9634492,7.279224,5,0.0,-1,-1,-1,-1,-1,-1,2,0
